,marketSegment,name,slug,ticker,totalSupply
163,Other,Asian Fintech,asian-fintech,AFIN,500000000
164,Ethereum,S4FE,s4fe,S4F,1000000000
165,Ethereum,GMB,gmb,GMB,5000000000
166,Other,B91,b91,B91,5100000000
167,Ethereum,Online,online,OIO,2500000000
168,Exchange,Bitrue Coin,bitrue-coin,BTR,878515205.3484074
169,AI,Lisk Machine Learning,lisk-machine-learning,LML,400000000
170,Binance,Eterbase Utility Token,eterbase,XBASE,1000000
171,Smart Contracts,API3,api3,API3,100000000
172,Ethereum,Xriba,xriba,XRA,275000000
173,Ethereum,Almeela ,almeela,KZE,8000000
174,Ethereum,SnapCoin,snapcoin,SNPC,678333334
175,Other,FNB Protocol,fnb-protocol,FNB,2490000160
176,Ethereum,HashNet BitEco,hashnet-biteco,HNB,1000000000
177,Blockchain Network,NKN,nkn,NKN,700000000
178,Exchange,Coineal Token,coineal-token,NEAL,10000000000
179,Ethereum,BUDDY,buddy,BUD,35000000000
180,AI,Jarvis+,jarvis,JAR,600000000
181,Ethereum,Prometeus,prometeus,PMS,19250000
182,Ethereum,Cryptopay,cryptopay,CPAY,90414745
183,Ethereum,EveryCoin,everycoin,EVY,88800000000
184,Platform,IZIChain,izichain,IZI,1250000000
185,Supply,InnovaMinex,innovaminex,MINX,300000000
186,Ethereum,Quadrant Protocol,quadrantprotocol,EQUAD,1000000000
187,Layer 2,Matic Network,matic-network,MATIC,10000000000
188,Ethereum,Q DAO Governance token v1.0,q-dao-governance-token,QDAO,999081.58
189,AI,Fetch,fetch,FET,1151441225.6042874
190,Scaling,Livepeer,livepeer,LPT,22767086.29276215
191,Ethereum,DEX,dex,DEX,1892996914
192,Ethereum,Hxro,hxro,HXRO,1000000000
193,Social,PTON,pton,PTON,23200000000
194,Financial,Bonpay,bonpay,BON,21745688.3534
195,Financial,SwftCoin,swftcoin,SWFTC,10000000000
196,Ethereum,Levolution,levolution,LEVL,311000000
197,Ethereum,IOU,iou,IOUX,800000000
198,Ethereum,SpaceChain,spacechain,SPC,474907714.24913204
199,Ethereum,Yfi.mobi,yfi-mobi,YFIM,60000
